field_key,county_fips,county,state,m1,m2,m3,m4,m5,m6,m7,fit_r2
1,,None,None,3.0631804929050306,8.272115922265755,126.39999991252546,30.617344766195263,137.95194150695835,13.484192510519552,-0.0499999979669955,0.9643692113851378
2,,None,None,1.8147918759617088,8.901814563890204,111.399999995302,41.51410744377917,144.57619772330648,15.589886888100848,-0.0499999993021788,0.8594041799883143
3,,None,None,1.4254801725085318,11.34368583225479,69.70513987879264,19.16428593709005,152.37188081908494,4.686882338794753,0.049997109979752,0.7776937114670668
4,,None,None,1.9095578489308715,9.174676157786886,105.39999991942304,42.42237350543232,142.24044871215546,15.42928488461936,-0.0499998490626014,0.8616124908764065
5,,None,None,2.7697703852561504,26.578985448282918,119.92758591520632,23.52409358642642,131.47238910853326,14.98671349915061,-0.0499999996325827,0.9706121850174314
6,,None,None,1.2534581958986628,9.330846358800356,92.96480470656677,17.402833713550844,157.40028190982207,4.245596271022778,0.0499999999145532,0.9804182819758664
7,,None,None,1.9054698659290488,16.477962922314983,118.25483888131583,26.01630999266184,130.4300134630113,17.35769074796423,-0.0499999991784014,0.955070911477325
8,,None,None,3.122218997284103,27.398836197714235,123.39999999862118,27.000604312309083,133.13272938947352,16.78364846196743,-0.0499999998775428,0.9528867142771286
9,,None,None,1.8542846815488827,17.973742895430814,124.43999006600644,25.1508932213218,138.3195506307988,16.194269871914138,-0.0499999999903384,0.9639497364439912
10,,None,None,2.498676814205048,19.642997677127152,129.39999963244586,25.124219982525453,138.58849971159276,15.785746208783037,-0.0499999999913168,0.9427539266396802
11,,None,None,0.314783147381957,0.100000002740839,53.35508750080594,3.147325702814913,145.2951141146541,13.595793074711818,-0.0346813224857709,0.967037590777525
12,,None,None,1.102428654269369,12.598369040045023,137.1428990073053,34.95560274507017,151.37707711670743,20.7767364715742,-0.0499999999983787,0.9291986371019608
13,,None,None,1.9992916594586496,20.72953787613079,123.07924408444904,28.83861625781125,136.58857288907512,17.643061293632883,-0.0499999957564631,0.9897163724383689
14,,None,None,1.2748787376166566,12.155278492733617,96.16228653477732,10.6211134383692,153.60555120573483,5.666304905517261,0.0499999999070773,0.9918060873542356
15,,None,None,1.7606569869887922,14.930832009693823,133.42701762805356,21.864601432444804,145.01436164767347,14.47611530731228,-0.0499999999580092,0.9463000442218528
16,,None,None,1.2586019109655806,8.988187026902121,95.61667009623956,8.062719937461228,149.35811202621645,4.498379258903954,0.0483037892139565,0.988068737472538
17,20057,Ford,Kansas,1.1305754266271697,3.888522986525887,163.6,21.6,178.0,1.0,0.0,0.1955902011656501
18,20025,Clark,Kansas,3.250693239750812,6.935531005701706,126.39999999844454,33.957340206605544,137.20482414391256,14.26591563971568,-0.0499999990442953,0.9612818750525104
19,20025,Clark,Kansas,1.1672319707324688,14.088600648951418,109.39311220006834,29.494852227650277,128.20343530950612,19.990234565935133,-0.0499999999997917,0.9875851408976342
20,20025,Clark,Kansas,0.8357339701262828,0.4212598831034909,117.86157268481804,21.53159428751557,120.89652418931207,6.69645750950574,0.0016314072564374,0.9012999654051564
